id,entity_type,canonical_ko,canonical_en,canonical_en_source
f311fda7-d84c-466b-a475-5928fddf22c1,movie,킹콩,King Kong,kofic
75370920-3ecf-48ec-b9cf-154ff8cc410c,channel_outlet,도장TV,Dojang TV,gtranslate
73a93410-b459-47cc-919d-f33d76fefe4c,drama,초연,Cho-yeon,wikidata-label
5c100443-440c-4d94-b145-ff2db554ab0c,song_album,손민수,Son Min-su,gtranslate
f4bd1d1e-5e41-4e71-8155-ab5e3b9c1f47,song_album,시인,Si-in,wikidata-label
7ea2100f-0720-4a35-a02e-9d85757acf12,event_tour,상병,Sang-byeong,wikidata-label
9ad07436-1a8f-4b2f-8afa-d4598ec31914,movie,연하,Yeonha,wikidata-label
333880ab-b534-4f04-8132-0ec31fd48f58,song_album,남백송,Nambaeksong,gtranslate
8a012f53-732d-4afe-90c0-69e6336d35ae,show,신성,Sin-seong,wikidata-label
c39ca0d6-e3f3-4ff0-840f-8064fc23c167,brand_place,진의,Jin-ui,wikidata-label
80e16c25-5506-428a-939b-a15b85d5560f,movie,남은정,Nam Eun-jeong,gtranslate
8161b096-0f53-4b30-860e-f3051685be4e,song_album,정수라,Jeong Su-ra,gtranslate
aff79e00-25f2-47e0-b9db-106eee3611da,brand_place,경주,Gyeongju,correction-verified
11ecb2f5-33e6-4d18-bb03-b77a579c907d,show,문호,Mun-ho,wikidata-label
fb83ba7b-d754-446e-9224-1ce84af15c23,show,재하,Jae-ha,wikidata-label
a3d3deb1-a5a4-4727-9975-9c91a5ffa8e7,drama,추노,Chuno,tmdb
a0b22891-0e4f-436e-a150-8c3c719c479e,song_album,모노,Mono,codex-fallback
41e6ec65-a245-43f8-b846-e7104d805a76,movie,내고향,Naegohyang,wikidata-label
708c837c-8f0d-4cb8-956d-915c8bbb0a57,song_album,조명섭,Jo Myeong-seop,gtranslate
d4cb5acc-c056-4a0b-b651-eec7fd6cf57b,brand_place,레미노,Remino,gtranslate
644b79d4-4aee-495e-9f5e-d9f603993e41,channel_outlet,창림,Chang-rim,wikidata-label
73fbfb19-28f7-477b-8eff-04927ba69aa2,show,성대,Seong-dae,wikidata-label
86666ee3-2268-4fb5-acda-215d3bd69872,brand_place,은석,Eun-seok,wikidata-label
1cabc096-6a47-4f19-830b-167e2f87d134,brand_place,인하,In-ha,wikidata-label
571072ff-4350-47c3-bf91-24d53da29348,show,구미,Gumi,gtranslate
fd1fd809-9af5-4453-a95a-46579ccabd38,movie,태권,Tae-gwon,wikidata-label
d705e5b7-8814-47fe-b748-9553a46d6a22,event_tour,라면,ramyeon,wikidata-label
86c85f0f-26c8-4c56-a464-a235ecfd2bc4,event_tour,소리,SoRi,wikidata-label
47bd77c6-8a43-4a3a-8bd4-30d37468fb80,movie,모아나 2,MOANA 2,kofic
a21f0e15-dca4-48e4-95bc-4390ac9ef467,event_tour,정미영,Jeong Mi-yeong,wikidata-label
8dd6a583-7ac9-4e5e-8095-5f6c5b8949d5,movie,상영,Sang-yeong,wikidata-label
