id,canonical_ko,canonical_en,entity_type,status,operator_locked,aliases_en,notes,provider,external_id
e197be43-99e0-45c4-bf85-88158f34513f,10CM,10cm,group,active,f,{},KDB candidate — on-demand 검색 발굴 (lookup-miss) · disambiguator: distinct (가수) · disambiguator: distinct (가수),wikidata,Q493329
c0cff38c-8959-4e27-80c0-8de8066a2e0a,ARIRANG,Arirang,song_album,active,f,{},"KDB candidate — on-demand 검색 발굴 (lookup-miss) · disambiguator review: uncertain: ARIRANG is a romanized/English form of 아리랑, but with no supporting entity evidence it is too ambiguous to merge confidently. · disambiguator review: uncertain: ARIRANG은 아리랑의 영문 표기일 수 있으나 인물 식별 근거가 없어 같은 실존 인물로 병합하기에는 증거가 부족함.",wikidata,Q653836
95087b6a-100b-49ca-a9ff-54d7076ebb95,Bestie,Bestie,song_album,active,f,{},KDB candidate — on-demand 검색 발굴 (lookup-miss),wikidata,Q13813305
4805a64f-d8ba-40a4-99c6-3e9d2b5b68b1,IVE,IVE,group,active,f,{},KDB candidate — RSS 발견 (cheap-gate 0 hit + K-content 매체) · resolve-unknowns: gpt group — IVE는 한국의 유명 걸그룹임,wikidata,Q109375061
ab49de7c-27c5-432c-aab0-9e7a88a75bb3,KBS 2TV,KBS 2TV,channel_outlet,active,f,{},KDB candidate — on-demand 검색 발굴 (lookup-miss),wikidata,Q624509
6ad32b57-4679-419c-9e3e-144057c9ec10,KBS2,KBS2,channel_outlet,active,f,{},KDB candidate — on-demand 검색 발굴 (lookup-miss),wikidata,Q624509
8604311e-b5f1-4538-8934-d7f652252e4e,NEXZ,Nexz,event_tour,active,f,{},KDB candidate — RSS 발견 (cheap-gate 0 hit + K-content 매체) · resolve-unknowns: gpt event_tour — Stray Kids의 라틴 아메리카 페스티벌 명칭임.,wikidata,Q123865358
c6d5e7ea-9282-4833-9ba6-69f0580690a3,New Jeans,New Jeans,song_album,active,f,{},KDB candidate — on-demand 검색 발굴 (lookup-miss),wikidata,Q113189277
ba5f5dfd-4354-4d11-82c8-538148015ef9,ONEUS,Oneus,event_tour,active,f,{},KDB candidate — RSS 발견 (cheap-gate 0 hit + K-content 매체) · resolve-unknowns: gpt event_tour — 2026년 개최 예정인 K-POP 콘서트 이벤트 명칭임.,wikidata,Q60528927
105b60d8-183f-40a3-baa1-0bde008f98a5,Supernova,Supernova,song_album,active,f,{},KDB candidate — on-demand 검색 발굴 (lookup-miss),wikidata,Q486153
daf3a2a6-3f8c-46f5-8352-d32c50fccea7,권정열,Kwon Jeong yeol,person,active,f,{},KDB candidate — on-demand 검색 발굴 (lookup-miss) · [scope:ok],wikidata,Q493329
588f2e1d-325a-4ca6-9dad-530de0f6e09d,넥스지,Nexz,group,active,f,{},KDB candidate — RSS 발견 (cheap-gate 0 hit + K-content 매체) [auto-promoted 2 매체],wikidata,Q123865358
7dd62fcd-05a3-4a0b-ac4d-d21e11d4fc7e,뉴진스,NewJeans,group,active,t,"{NJZ,""New Jeans""}","Official/representative foreign-market name is NewJeans; no reliable localized official JA/VI/ID/ES/PT-BR/Traditional Chinese title was provided, so NewJeans is used as fallback outside Korean. Do not leave Hangul as non-Korean canonical value.",wikidata,Q113189277
80300bee-f936-439c-89cf-13c6fa829b99,박성훈,Park Sung-hoon,person,active,f,{},KDB candidate — RSS 발견 (cheap-gate 0 hit + K-content 매체) · drain-persons: gpt 인물 분류 — 박성훈은 3자 한글 인명형이며 WowKeren의 K-content 문맥에서 배우 Park Sung Hoon 관련 기사 단서가 확인됩니다. · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · disambiguator: distinct (배우) · di · [scope:ok],wikidata,Q17198771
f0aca59f-95fc-4839-8b78-e1bd0c18c552,베스티,BESTie,group,active,f,{},KDB candidate — RSS 발견 (cheap-gate 0 hit + K-content 매체),wikidata,Q13813305
9c4994f7-a442-4882-9ae8-0e87779637d4,선우용여,Sunwoo Yong Nyeo,person,active,f,"{""Sunwoo Yong-nyeo""}","person research sync from kwave_persons [reject 2026-05-24: 선우용녀 와 동일 인물 (Q12601728), 표기 오타] · disambiguator: distinct (배우) · [scope:ok]",wikidata,Q12601728
fee4d6c7-e631-494b-a958-e4a08cee8655,선우용여,Sunwoo Yong-nyeo,person,active,f,{},KDB candidate — on-demand 검색 발굴 (lookup-miss) · gatekeeper: cleaned canonical · disambiguator review: exact homonym without corroborating evidence — review before merge · resolve-unknowns: gpt person — 한국의 유명 배우 · [scope:ok],wikidata,Q12601728
